kernel_id,bx,by,bz,best_time,default_time,points,gpoints_per_s,nargs,nstencil_args,widest_radius,widest_radius_x,widest_radius_y,widest_radius_z,stencil_sig,max_threads_per_block
27,32,4,1,1.19209e-05,1.19209e-05,11025,0.924844,3,2,4,0,4,0,"0,0,0:0,-4,0;0,0,0:0,-4,0;none",1024
28,32,4,1,1.19209e-05,1.19209e-05,11025,0.924844,3,2,2,0,2,0,"0,0,0:0,-2,0;0,0,0:0,-2,0;none",1024
29,32,4,1,1.5974e-05,1.5974e-05,11025,0.690182,3,2,4,4,0,0,"0,0,0:4,0,0;0,0,0:4,0,0;none",1024
30,32,4,1,1.50204e-05,1.50204e-05,11025,0.734003,3,2,2,2,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",1024
31,32,4,1,1.5974e-05,1.5974e-05,11025,0.690182,3,2,4,4,0,0,"0,0,0:-4,0,0;0,0,0:-4,0,0;none",1024
32,32,4,1,1.50204e-05,1.50204e-05,11025,0.734003,3,2,2,2,0,0,"0,0,0:-2,0,0;0,0,0:-2,0,0;none",1024
33,32,4,1,1.28746e-05,1.28746e-05,11025,0.856337,3,2,4,0,0,4,"0,0,0:0,0,4;0,0,0:0,0,4;none",1024
34,32,4,1,1.19209e-05,1.19209e-05,11025,0.924844,3,2,2,0,0,2,"0,0,0:0,0,2;0,0,0:0,0,2;none",1024
35,32,4,1,1.28746e-05,1.28746e-05,11025,0.856337,3,2,4,0,0,4,"0,0,0:0,0,-4;0,0,0:0,0,-4;none",1024
36,32,4,1,1.19209e-05,1.19209e-05,11025,0.924844,3,2,2,0,0,2,"0,0,0:0,0,-2;0,0,0:0,0,-2;none",1024
37,32,4,1,1.40667e-05,1.40667e-05,11025,0.783766,3,2,4,0,4,0,"0,0,0:0,4,0;0,0,0:0,4,0;none",1024
38,32,4,1,1.3113e-05,1.3113e-05,11025,0.840767,3,2,2,0,2,0,"0,0,0:0,2,0;0,0,0:0,2,0;none",1024
39,32,4,1,1.28746e-05,1.28746e-05,11025,0.856337,3,2,4,0,4,0,"0,0,0:0,-4,0;0,0,0:0,-4,0;none",1024
40,32,4,1,1.3113e-05,1.3113e-05,11025,0.840767,3,2,2,0,2,0,"0,0,0:0,-2,0;0,0,0:0,-2,0;none",1024
41,32,4,1,1.62125e-05,1.62125e-05,11025,0.680032,3,2,4,4,0,0,"0,0,0:4,0,0;0,0,0:4,0,0;none",1024
42,32,4,1,1.50204e-05,1.50204e-05,11025,0.734003,3,2,2,2,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",1024
43,32,4,1,1.5974e-05,1.5974e-05,11025,0.690182,3,2,4,4,0,0,"0,0,0:-4,0,0;0,0,0:-4,0,0;none",1024
44,32,4,1,1.50204e-05,1.50204e-05,11025,0.734003,3,2,2,2,0,0,"0,0,0:-2,0,0;0,0,0:-2,0,0;none",1024
45,32,4,1,1.21593e-05,1.21593e-05,11025,0.90671,3,2,4,0,0,4,"0,0,0:0,0,4;0,0,0:0,0,4;none",1024
46,32,4,1,1.21593e-05,1.21593e-05,11025,0.90671,3,2,2,0,0,2,"0,0,0:0,0,2;0,0,0:0,0,2;none",1024
47,32,4,1,1.21593e-05,1.21593e-05,11025,0.90671,3,2,4,0,0,4,"0,0,0:0,0,-4;0,0,0:0,0,-4;none",1024
48,32,4,1,1.3113e-05,1.3113e-05,11025,0.840767,3,2,2,0,0,2,"0,0,0:0,0,-2;0,0,0:0,0,-2;none",1024
49,32,4,1,1.3113e-05,1.3113e-05,11025,0.840767,3,2,4,0,4,0,"0,0,0:0,4,0;0,0,0:0,4,0;none",1024
50,32,4,1,1.28746e-05,1.28746e-05,11025,0.856337,3,2,2,0,2,0,"0,0,0:0,2,0;0,0,0:0,2,0;none",1024
51,32,4,1,1.28746e-05,1.28746e-05,11025,0.856337,3,2,4,0,4,0,"0,0,0:0,-4,0;0,0,0:0,-4,0;none",1024
52,32,4,1,1.28746e-05,1.28746e-05,11025,0.856337,3,2,2,0,2,0,"0,0,0:0,-2,0;0,0,0:0,-2,0;none",1024
53,32,4,1,1.71661e-05,1.71661e-05,11025,0.642253,3,2,4,4,0,0,"0,0,0:4,0,0;0,0,0:4,0,0;none",1024
54,32,4,1,1.69277e-05,1.69277e-05,11025,0.651299,3,2,2,2,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",1024
55,32,4,1,1.69277e-05,1.69277e-05,11025,0.651299,3,2,4,4,0,0,"0,0,0:-4,0,0;0,0,0:-4,0,0;none",1024
56,32,4,1,1.5974e-05,1.5974e-05,11025,0.690182,3,2,2,2,0,0,"0,0,0:-2,0,0;0,0,0:-2,0,0;none",1024
57,32,4,1,1.28746e-05,1.28746e-05,11025,0.856337,3,2,4,0,0,4,"0,0,0:0,0,4;0,0,0:0,0,4;none",1024
58,32,4,1,1.3113e-05,1.3113e-05,11025,0.840767,3,2,2,0,0,2,"0,0,0:0,0,2;0,0,0:0,0,2;none",1024
59,32,4,1,1.3113e-05,1.3113e-05,11025,0.840767,3,2,4,0,0,4,"0,0,0:0,0,-4;0,0,0:0,0,-4;none",1024
60,32,4,1,1.21593e-05,1.21593e-05,11025,0.90671,3,2,2,0,0,2,"0,0,0:0,0,-2;0,0,0:0,0,-2;none",1024
61,32,4,1,1.12057e-05,1.12057e-05,10920,0.974506,3,2,4,0,4,0,"0,0,0:0,4,0;0,0,0:0,4,0;none",1024
62,32,4,1,1.09673e-05,1.09673e-05,10920,0.995691,3,2,2,0,2,0,"0,0,0:0,2,0;0,0,0:0,2,0;none",1024
63,32,4,1,1.19209e-05,1.19209e-05,10920,0.916036,3,2,4,0,4,0,"0,0,0:0,-4,0;0,0,0:0,-4,0;none",1024
64,32,4,1,1.19209e-05,1.19209e-05,10920,0.916036,3,2,2,0,2,0,"0,0,0:0,-2,0;0,0,0:0,-2,0;none",1024
65,32,4,1,1.40667e-05,1.40667e-05,10816,0.768908,3,2,4,4,0,0,"0,0,0:4,0,0;0,0,0:4,0,0;none",1024
66,32,4,1,1.40667e-05,1.40667e-05,10816,0.768908,3,2,2,2,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",1024
